,Unnamed: 0.1,Unnamed: 0,sortname,Android,iOS,country,aaa,percapita,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,store
29,29,417,Burkina Faso2020,87.99833333,5.565833333,Burkina Faso,830.9253369,830.9253369,BFA,17933606353,20903278,273600,44.37030029,,53.21867059,10,2.920084351,7.320214417,0.005647538,0.059486805,29,Burkina Faso,0,1,3,4,0,Burkina-Faso,12.91666667,0
30,30,431,Burundi2020,79.58166667,4.480833333,Burundi,285.8757818,285.8757818,BDI,2780510625,11890781,25680,45.25191947,20.7419529,52.36794311,,2.457693886,7.075210417,0.000936915,0.053303594,30,Burundi,0,3,2,3,0,Burundi,10.9075,0
31,31,445,Cambodia2020,59.08,40.4175,Cambodia,1512.728288,1512.728288,KHM,25872798012,16718971,176520,30.92495259,,64.22219916,,3.180047927,7.22320957,0.004561273,0.406216237,31,Cambodia,0,1,1,1,0,Cambodia,15.46166667,0
32,32,459,Cameroon2020,87.95,6.381666667,Cameroon,1502.328062,1502.328062,CMR,40804449726,26545864,472710,42.0639329,14.38990593,55.21991129,6,3.177053764,7.423996881,0.007665559,0.067651372,32,Cameroon,0,2,5,4,8.8,Cameroon,6.925833333,0
33,33,473,Canada2020,48.6525,50.98083333,Canada,43559.71009,43559.71009,CAN,1.64542E+12,38037204,8965590,15.77525226,,66.12038624,10,4.639094951,7.580208597,0.091915089,0.51168451,33,Canada,0,2,4,3,6.5,Canada,25.87083333,1
34,34,487,Cape Verde2020,87.71166667,11.77833333,Cape Verde,3064.276546,3064.276546,CPV,,,,,,,,3.486469662,,,0.118387108,34,Cape Verde,1,2,1,1,10.8,Cabo-Verde,19.12,0
35,35,501,Cayman Islands2020,48.4225,51.26833333,Cayman Islands,95190.93251,95190.93251,CYM,5608989196,65720,240,,,,12,4.978600144,4.817704163,0.001583092,0.514273295,35,Cayman Islands,1,1,2,1,0,,30.03416667,0
36,36,515,Central African Republic2020,89.50083333,4.745833333,Central African Republic,481.016462,481.016462,CAF,2326720921,4829764,622980,43.54172779,9.782443047,53.66014551,10,2.683061871,6.683926,0.052689198,0.05035545,36,Central African Republic,0,2,5,4,0,Central-African-Republic,3.336666667,0
37,37,529,Chad2020,89.7575,7.704166667,Chad,679.0672838,679.0672838,TCD,10715396135,16425859,1259200,46.49029725,11.67150974,51.01112489,10,2.832551883,7.215528117,0.032078423,0.079048173,37,Chad,0,2,4,3,0,Chad,9.0825,0
38,38,543,Chile2020,85.3775,14.26833333,Chile,13231.70964,13231.70964,CHL,2.52727E+11,19116209,743532,19.23872845,,68.51861413,12,4.121648783,7.281401793,0.01657181,0.143190466,38,Chile,0,1,2,3,0,Chile,24.16333333,0
39,39,557,China2020,80.50083333,18.5425,China,10228.97056,10228.97056,CHN,1.46877E+13,1411100000,9424702.9,17.71181539,10.52999973,70.31991341,9,4.009874384,9.149557792,0.002890999,0.187216033,39,China,0,1,2,3,52.2,China,7.693333333,1
40,40,571,Colombia2020,88.78833333,10.5625,Colombia,5332.77279,5332.77279,COL,2.703E+11,50882884,1109500,22.18357051,14.74662971,68.75586727,12,3.727034512,7.706571727,0.009368013,0.106315163,40,Colombia,0,1,3,3,8,Colombia,17.9225,0
41,41,585,Comoros2020,93.65416667,5.681666667,Comoros,1420.651905,1420.651905,COM,1223876065,869595,1861,39.01984933,,57.87435847,6,3.152793271,5.939317533,0.00092843,0.057196547,41,Comoros,1,3,1,1,0,Comoros,8.078333333,0
42,42,613,Congo2020,76.595,7.416666667,Congo,1830.382491,1830.382491,COG,,,,,,,,3.262779058,,,0.088281389,42,"Congo, the Democratic Republic of the",0,1,6,5,0,Democratic-Republic-of-the-Congo,9.028333333,0
43,43,599,"Congo, the Democratic Republic of the2020",88.8275,8.308333333,"Congo, the Democratic Republic of the",16134.97795,16134.97795,COD,,,,,,,,4.207795292,,,0.085533145,43,Congo,0,1,5,3,11.3,Republic-of-the-Congo,14.00583333,0
44,44,627,Costa Rica2020,80.865,18.85833333,Costa Rica,12076.80596,12076.80596,CRI,62158002233,5094114,51060,20.82802165,21.53948021,68.9188786,13,4.081988048,6.707068745,0.004331407,0.189106528,44,Costa Rica,0,1,2,3,10,Costa-Rica,31.25916667,0
45,45,641,Côte d'Ivoire2020,81.6375,15.03416667,Côte d'Ivoire,2317.925719,2317.925719,CIV,,,,,,,,3.365286837,,,0.155517818,45,Côte d'Ivoire,0,1,5,3,19.2,Cote-dIvoire,17.82916667,0
46,46,655,Croatia2020,88.13916667,11.52333333,Croatia,13934.24196,13934.24196,HRV,57203783203,4047680,55960,14.54156331,,64.20620145,8,4.144114514,6.607206278,0.005963084,0.115623563,46,Croatia,0,2,1,1,0,Croatia,7.9975,0
47,47,669,Cuba2020,88.55833333,11.2475,Cuba,9477.852873,9477.852873,CUB,1.07352E+11,11326616,103800,15.9207216,,68.18586416,9,3.976755782,7.054100215,0.003961859,0.112693814,47,Cuba,1,1,3,2,23,Cuba,2.015833333,0
48,48,683,Cyprus2020,77.4,22.3725,Cyprus,28133.07116,28133.07116,CYP,24692095945,1207361,9240,16.57717381,,69.01402151,10,4.449232582,6.081837503,0.003311026,0.224235135,48,Cyprus,1,2,2,1,0,Cyprus,15.95416667,0
49,49,697,Czech Republic2020,78.82166667,20.7925,Czech Republic,22910.62894,22910.62894,CZE,,,,,,,,4.360055967,,,0.208730351,49,Czech Republic,0,1,2,1,89.2,Czech-Republic,10.28,0
50,50,711,Denmark2020,44.79916667,55.02083333,Denmark,61476.59693,61476.59693,DNK,3.56085E+11,5831404,40000,16.28173534,,63.55427521,10,4.788716883,6.765773205,0.002968834,0.551200494,50,Denmark,0,1,1,1,0,Denmark,34.16166667,0
51,51,725,Djibouti2020,89.92166667,9.8225,Djibouti,3465.038713,3465.038713,DJI,3181071154,988002,23180,28.91224696,,66.3812753,10,3.539833409,5.994758263,0.010071506,0.098476937,51,Djibouti,0,2,3,1,0,Djibouti,7.695,0
52,52,739,Dominica2020,86.87,12.8725,Dominica,7037.685311,7037.685311,DMA,504214814.8,71991,750,,10.66617012,,12,3.847491549,4.857284239,0.004501061,0.129057323,52,Dominica,1,1,2,2,6,Dominica,12.6225,0
53,53,753,Dominican Republic2020,74.91666667,24.81166667,Dominican Republic,7268.188603,7268.188603,DOM,78844702329,10847904,48310,27.43934085,19.32287979,65.03296027,15,3.861485937,7.035345873,0.001929791,0.248792553,53,Dominican Republic,1,1,3,1,0,Dominican-Republic,21.28833333,0
54,54,767,Ecuador2020,87.3075,11.96916667,Ecuador,5600.39152,5600.39152,ECU,99291124000,17643060,248360,27.39192432,11.51441956,65.01698062,15,3.74829593,7.246573936,0.0060709,0.120563744,54,Ecuador,0,1,4,3,6.5,Ecuador,22.31416667,0
55,55,781,Egypt2020,88.1625,11.59,Egypt,3608.842256,3608.842256,EGY,,,,,,,,3.557488224,,,0.116187564,55,Egypt,0,1,1,2,0,Egypt,7.505,0
56,56,795,El Salvador2020,89.46916667,10.20583333,El Salvador,3798.634701,3798.634701,SLV,24638720000,6486201,20720,26.59058725,13.09288979,64.75846816,15,3.579741845,6.81199047,0.001385131,0.102391104,56,El Salvador,0,1,2,2,12,El-Salvador,15.97416667,0
57,57,809,Equatorial Guinea2020,86.7,12.495,Equatorial Guinea,7143.238102,7143.238102,GNQ,10099157270,1402985,28050,36.7792243,,60.83935324,6,3.85395592,6.147053337,0.008597228,0.12596401,57,Equatorial Guinea,0,3,3,1,0,Equatorial-Guinea,9.450833333,0
58,58,823,Eritrea2020,90.99583333,5.616666667,Eritrea,587.6141958,587.6141958,ERI,,,121040.829,,,,8,2.769830732,,,0.058136024,58,Eritrea,0,2,2,3,0,Eritrea,1.435,0
59,59,837,Estonia2020,67.855,31.39833333,Estonia,23105.52339,23105.52339,EST,30650285472,1329479,42750,16.49817004,,63.12860196,9,4.363734606,6.123681808,0.013745111,0.316345379,59,Estonia,0,1,2,4,0,Estonia,15.14583333,0
60,60,851,Ethiopia2020,88.26416667,5.171666667,Ethiopia,840.3619301,840.3619301,ETH,1.07658E+11,114963583,1128571.265,39.91763636,,56.54546986,8,2.924982857,8.060560295,0.00424258,0.055349928,60,Ethiopia,0,1,4,3,0,Ethiopia,4.68,0
61,61,865,Faroe Islands2020,40.25416667,59.58583333,Faroe Islands,66320.68,66320.68,FRO,3240759989,48865,1366,,,,9,4.821655519,4.689006791,0.011973921,0.596813235,61,Faroe Islands,1,2,2,1,4,Faroe-Islands-Athlantic-Ocean,27.3175,0
62,62,879,Fiji2020,92.7225,7.138333333,Fiji,5013.230983,5013.230983,FJI,4574413823,896444,18270,29.01126115,16.39175034,65.17131559,,3.700204336,5.952523649,0.008762161,0.071482814,62,Fiji,1,3,2,5,16.4,Fiji-republic-Pacific-Ocean,13.02583333,0
63,63,893,Finland2020,71.64333333,28.01166667,Finland,48685.24539,48685.24539,FIN,2.71837E+11,5529543,303940,15.86512222,,61.58039027,10,4.687406284,6.742689318,0.023238697,0.281086415,63,Finland,0,2,3,2,0,Finland,16.88833333,0
64,64,907,France2020,70.62666667,29.025,France,38958.60342,38958.60342,FRA,2.63032E+12,67379908,547557,17.65365586,,61.59288873,13,4.590614527,7.82853042,0.003514994,0.291264572,64,France,0,1,1,2,25.5,France,23.0925,1
65,65,921,French Polynesia2020,71.5475,28.31833333,French Polynesia,20707.45277,20707.45277,PYF,5669368717,280904,3471,22.22329019,,68.70826036,,4.316147652,5.44855947,0.005333491,0.283563781,65,French Polynesia,1,2,5,5,0,French-Polynesia,36.53083333,0
66,66,935,Gabon2020,90.89083333,7.764166667,Gabon,6789.392632,6789.392632,GAB,15316824039,2225728,257670,37.26388688,15.02551937,59.2072997,10,3.831894887,6.347472284,0.047574238,0.078700184,66,Gabon,0,1,4,4,5.6,Gabon,19.5175,0
67,67,949,Gambia2020,82.10166667,16.58083333,Gambia,757.4124411,757.4124411,GMB,,,,,,,,2.879905449,,,0.168022023,67,Gambia,0,1,5,1,0,The-Gambia,10.05083333,0
68,68,963,Georgia2020,77.78833333,20.97916667,Georgia,3983.689756,3983.689756,GEO,15842922533,3722716,69490,20.22041193,11.17018986,64.52627829,9,3.600394513,6.570860023,0.008032015,0.212409615,68,Georgia,0,1,2,2,0,Georgia,6.081666667,0
69,69,977,Germany2020,69.08083333,30.27666667,Germany,45908.72471,45908.72471,DEU,3.84641E+12,83160871,349390,13.95559545,,64.35695518,13,4.661904689,7.919919035,0.001820812,0.304724522,69,Germany,0,1,1,2,37.7,Germany,17.78166667,1
70,70,991,Ghana2020,84.66666667,12.82083333,Ghana,2205.526086,2205.526086,GHA,70043199814,31072945,227533,37.13115656,,59.72849367,11,3.343709066,7.49238243,0.003168554,0.131512587,70,Ghana,0,1,5,5,5.2,Ghana,10.70083333,0
71,71,1005,Gibraltar2020,49.64833333,50.02083333,Gibraltar,,,GIB,,33691,10,,,,10,,4.527526792,0.000128886,0.501868682,71,Gibraltar,0,1,2,2,7.2,Gibraltar,30.40333333,0
72,72,1019,Greece2020,84.58583333,13.24833333,Greece,18117.07026,18117.07026,GRC,1.88835E+11,10700556,128900,13.65592081,,64.05968922,10,4.258111939,7.029406385,0.005200297,0.135416223,72,Greece,0,1,1,1,0,Greece,5.640833333,0
73,73,1033,Greenland2020,56.34083333,43.4725,Greenland,55138.56988,55138.56988,GRL,3075968329,56367,410450,,,,10,4.741463374,4.751032626,0.918121742,0.435538004,73,Greenland,1,1,2,2,0,,36.17666667,0
74,74,1047,Grenada2020,85.475,14.22333333,Grenada,9272.883756,9272.883756,GRD,1043411111,112519,340,23.77647237,,66.43086302,12,3.967261648,5.051229723,0.001310334,0.142663702,74,Grenada,1,1,2,2,5.7,Grenada,14.48,0
75,75,1061,Guam2020,50.4075,49.30833333,Guam,"34,624.34",34624.34,GUM,5844000000,168783,540,23.86016886,,65.60568805,0,4.539394047,5.227331275,0.001387253,0.494488505,75,Guam,1,2,4,2,16,,32.7625,0
76,76,1075,Guatemala2020,87.475,12.30833333,Guatemala,4331.686958,4331.686958,GTM,77604632621,16858333,107160,33.34243157,21.1411705,61.61552902,16,3.636757312,7.226814654,0.002751856,0.123350593,76,Guatemala,0,1,6,2,0,Guatemala,22.975,0
77,77,1103,Guinea2020,75.92416667,6.198333333,Guinea,1179.48889,1179.48889,GIN,14169626010,13132792,245720,43.04895493,14.29006004,53.99872609,6,3.072061904,7.118357099,0.008050747,0.075476676,77,Guinea-Bissau,0,1,5,3,0,Guinea-Bissau,9.548333333,0
78,78,1089,Guinea-Bissau2020,92.12916667,4.195833333,Guinea-Bissau,668.1901706,668.1901706,GNB,1431758243,1967998,28120,41.92721447,,55.18701464,9,2.825549553,6.294024873,0.006161558,0.043559131,78,Guinea,0,1,4,2,0,Guinea,14.38,0
79,79,1117,Guyana2020,84.91083333,14.43583333,Guyana,6956.019415,6956.019415,GUY,5471256595,786559,196850,27.73192364,,65.26853914,6,3.842423215,5.895731857,0.097002874,0.145307677,79,Guyana,0,1,4,6,0,Guyana,8.693333333,0
80,80,1131,Haiti2020,90.11666667,9.720833333,Haiti,1359.802536,1359.802536,HTI,14508218017,11402533,27560,32.47389526,,62.35143645,6,3.13379511,7.057001376,0.001048426,0.097366554,80,Haiti,1,2,2,3,10.2,Haiti,21.52333333,0
81,81,1145,Honduras2020,84.25916667,15.28416667,Honduras,2405.734997,2405.734997,HND,23827840810,9904608,111890,30.58817982,24.25477028,64.43861932,12,3.381428273,6.995837336,0.004878617,0.153542846,81,Honduras,0,1,2,2,0,Honduras,18.24416667,0
82,82,1159,Hong Kong2020,53.30083333,45.22416667,Hong Kong,"46,100.98",46100.98,HKG,,,,,,,,4.663719578,,,0.459012095,82,Hong Kong,0,2,1,3,54,,29.56083333,1
83,83,1173,Hungary2020,79.70083333,19.30666667,Hungary,16128.65166,16128.65166,HUN,1.56743E+11,9750149,91260,14.40865865,,65.4282334,13,4.207624988,6.989011297,0.004046029,0.195002062,83,Hungary,0,1,1,2,0,Hungary,6.266666667,0
84,84,1187,Iceland2020,52.55333333,47.30166667,Iceland,63644.01827,63644.01827,ISL,21718075725,366463,100830,19.42428123,,64.95371334,10,4.803764415,5.564031318,0.105559143,0.473703537,84,Iceland,1,1,1,1,6.1,Iceland,28.73083333,0
85,85,1201,India2020,95.23666667,3.224166667,India,1930.971218,1930.971218,IND,2.66769E+12,1380004385,2973190,26.16061144,16.54015923,67.26549988,8,3.286000652,9.139880467,0.000934672,0.032745677,85,India,0,23,23,2,0,India,6.844166667,0
86,86,1215,Indonesia2020,92.15666667,7.604166667,Indonesia,3869.58852,3869.58852,IDN,1.05869E+12,273523621,1877519,25.93600629,19.15280151,67.80148032,9,3.587777004,8.436994839,0.002970896,0.076223969,86,Indonesia,1,1,2,1,0,Indonesia,9.215,0
87,87,1229,Iran Islamic Republic of2020,89.89083333,9.830833333,Iran Islamic Republic of,11183.27488,11183.27488,IRN,,,,,,,,4.048607832,,,0.098582722,87,Iran Islamic Republic of,0,3,1,1,0,Iran,2.308333333,0
88,88,1243,Iraq2020,81.93416667,17.92166667,Iraq,4145.863967,4145.863967,IRQ,1.8437E+11,40222503,434128,37.71374639,,58.8435232,6,3.617719789,7.604469104,0.004662295,0.17947541,88,Iraq,0,2,3,1,0,Iraq,8.800833333,0
89,89,1257,Ireland2020,58.07166667,41.65083333,Ireland,86250.99415,86250.99415,IRL,4.25889E+11,4985674,68890,20.83227179,,64.58977769,10,4.935769145,6.697723965,0.005959822,0.41766736,89,Ireland,1,2,2,2,0,Ireland,24.40333333,0
90,90,1271,Isle of Man2020,42.40333333,56.54166667,Isle of Man,,86482,IMN,,85032,570,,,,,,4.929587501,0.002901518,0.571445416,90,Isle of Man,1,2,1,3,41,,26.41666667,0
91,91,1285,Israel2020,77.12166667,22.72,Israel,47033.58655,47033.58655,ISR,4.07101E+11,9215100,21640,27.82847045,,59.75718428,15,4.672417331,6.9645001,0.001018667,0.227560304,91,Israel,0,2,2,2,0,Israel,12.84333333,0
92,92,1299,Italy2020,74.5125,25.14333333,Italy,31238.04835,31238.04835,ITA,1.89257E+12,59449527,295717,12.98729053,,63.71081647,12,4.494697795,7.774148411,0.002154936,0.252301672,92,Italy,0,1,1,2,14,Italy,25.345,1
93,93,1313,Jamaica2020,77.5425,22.20416667,Jamaica,4664.519718,4664.519718,JAM,13812425037,2961161,10830,23.35815575,,67.56407187,6,3.668900029,6.471462168,0.001585469,0.222605601,93,Jamaica,1,1,2,5,21.3,Jamaica,16.32416667,0
94,94,1327,Japan2020,36.28916667,63.53666667,Japan,39989.72551,39989.72551,JPN,5.04011E+12,126261000,364500,12.44855673,,59.1541702,9,4.601959283,8.101269228,0.001251949,0.636475194,94,Japan,1,1,1,2,63,Japan,21.9825,1
95,95,1341,Jordan2020,84.79833333,15.075,Jordan,4282.721671,4282.721671,JOR,43697659296,10203140,88794,32.85384667,,63.19245636,10,3.631821245,7.008733888,0.003763147,0.150941192,95,Jordan,0,1,4,1,0,Jordan,15.06,0
96,96,1355,Kazakhstan2020,79.03416667,20.64833333,Kazakhstan,9111.410501,9111.410501,KAZ,1.71082E+11,18755666,2699700,29.14417315,,62.95302472,9,3.959633276,7.273132513,0.058403437,0.207141006,96,Kazakhstan,0,2,2,2,0,Kazakhstan,7.604166667,0
97,97,1369,Kenya2020,88.3175,4.558333333,Kenya,1878.581192,1878.581192,KEN,1.00667E+11,53771300,569140,38.58960364,,58.90121004,12,3.274061091,7.730550544,0.004572614,0.049079865,97,Kenya,0,2,8,4,0,Kenya,10.93666667,0
98,98,1383,Kiribati2020,90.5275,9.384166667,Kiribati,1514.569464,1514.569464,KIR,180911843.6,119446,810,35.91658365,20.1776104,59.86822828,9,3.180575846,5.077175247,0.002935143,0.093924633,98,Kiribati,1,2,2,3,0,Kiribati,13.95916667,0
99,99,1397,Korea Democratic People's Republic of2020,82.16,17.84,Korea Democratic People's Republic of,617.8872355,617.8872355,PRK,,,,,,,,2.791611525,,,0.1784,99,Korea Democratic People's Republic of,0,1,1,3,0,North-Korea,4.480833333,0
100,100,1411,Korea Republic of2020,75.90333333,23.97916667,Korea Republic of,31946.98251,31946.98251,KOR,,,,,,,,4.504443438,,,0.240073753,100,Korea Republic of,0,1,1,3,56,,7.809166667,1
101,101,1425,Kuwait2020,63.36166667,36.40666667,Kuwait,24809.03963,24809.03963,KWT,1.0596E+11,4270563,17820,21.46221196,11.91267014,75.50198791,9,4.394627458,6.630485235,0.001808433,0.364912046,101,Kuwait,0,1,3,2,6,Kuwait,28.34666667,0
102,102,1439,Lao People's Democratic Republic2020,77.29583333,21.825,Lao People's Democratic Republic,2622.75764,2622.75764,LAO,,,,,,,,3.418923716,,,0.2201858,102,Lao People's Democratic Republic,0,1,3,3,0,Laos,10.8175,0
103,103,1453,Latvia2020,74.51583333,25.13833333,Latvia,17870.51032,17870.51032,LVA,33645460617,1900449,62230,16.4321031,,62.88051413,11,4.252161256,6.278856448,0.013993056,0.252255718,103,Latvia,0,1,2,4,26,Latvia,13.00083333,0
104,104,1467,Lebanon2020,80.68083333,19.16916667,Lebanon,9310.161925,9310.161925,LBN,25948915861,6825442,10230,25.06879771,9.89828968,67.38215604,10,3.969003879,6.834130844,0.000650435,0.191979636,104,Lebanon,0,1,4,6,0,Lebanon,21.605,0
105,105,1481,Lesotho2020,94.66583333,3.17,Lesotho,1061.265715,1061.265715,LSO,2250717718,2142252,30360,32.23803582,13.79121971,62.81314637,7,3.026233165,6.33087076,0.006111617,0.032401216,105,Lesotho,0,2,1,4,0,Lesotho,3.611666667,0
106,106,1495,Liberia2020,87.99666667,6.531666667,Liberia,490.5191239,490.5191239,LBR,3039982540,5057677,96320,40.37221802,,56.3093046,6,2.69154042,6.703951176,0.008193071,0.069097449,106,Liberia,0,1,7,2,0,Liberia,5.571666667,0
